,Arttırılabilir Azami Bellek,Bağlantılar,Brand,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü,Optik Sürücü Tipi,Panel Tipi,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,Soket Tipi,Star,Temel İşlemci Hızı (GHz),Title,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi
1046,,Bluetooth,"Dell Inspiron 3511 Intel Core I5 1135g7 16gb 512gb Ssd Windows 10 Home 15.6"" F35obf821na25 F35OBF821NA25 ",2 kg ve Altı,Yok,"15,6 inç",Paylaşımlı,SD,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Ofis - İş,4.2,,,Yok,IPS,"13.384,11",16 GB,DDR4,Siyah,512 GB,,5.0,2.4," Inspiron 3511 Intel Core I5 1135g7 16gb 512gb Ssd Windows 10 Home 15.6"" F35obf821na25 F35OBF821NA25 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,
1047,,,"Dell Latitude 3520 N014l352017emea_u I7 1165g7 16gb 512gb Ssd Freedos15.6"" Fhd Laptop N014L352017EMEA_U ",2 - 4 kg,Yok,"15,6 inç",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,19.200,16 GB,DDR4,Siyah,512 GB,,4.75,," Latitude 3520 N014l352017emea_u I7 1165g7 16gb 512gb Ssd Freedos15.6"" Fhd Laptop N014L352017EMEA_U ",1920 x 1080,Full HD (FHD),,1165G7,11. Nesil,Intel Core i7,Belirtilmemiş,Free Dos,
1048,8 GB,USB,"LENOVO V14 82c4015btx I5-1035g1 8gb 1tb+128gb Ssd 2gb Mx330 14"" Dos V14 82C4015BTX i5-1035G1 ",2 kg ve Altı,Yok,14 inç,NVIDIA Quadro RTX 2080,GDDR5X,Paylaşımlı,Dahili,Belirtilmemiş,,1 Yıl,Resmi Distribütör Garantili,,,1 TB,Yok,Q Türkçe,Ev - Okul,,,,DVD Yazıcı,IPS,"14.122,42",8 GB,Belirtilmemiş,,128 GB,,5.0,," V14 82c4015btx I5-1035g1 8gb 1tb+128gb Ssd 2gb Mx330 14"" Dos V14 82C4015BTX i5-1035G1 ",1920 x 1200,HD Ready (HD),,1035G4,10. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü
1049,64 GB,HDMI,Dell Vostro 3510-f8066 I5-1135g7 8g 512g Ssd 15.6 Fhd Ubuntu Notebook ,2 kg ve Altı,Yok,"15,6 inç",Intel HD Graphics,DDR4,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,500 GB,512 GB,Q Türkçe,Ofis - İş,4.2,Üniversite,,Yok,IPS,"14.867,12",8 GB,DDR4,Siyah,512 GB,,4.83,2.4, Vostro 3510-f8066 I5-1135g7 8g 512g Ssd 15.6 Fhd Ubuntu Notebook ,1920 x 1080,Full HD (FHD),,i5-1135G7,11. Nesil,Intel Core i5,4,Ubuntu,6 Saat ve Üstü
1050,,,"ASUS X515ja-ej2119 I7-1065g7 8gb 256ssd 15.6"" Fullhd Freedos Taşınabilir Bilgisayar T15336 ",2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,SD,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,"13.422,83",8 GB,DDR4,Gri,256 GB,,5.0,," X515ja-ej2119 I7-1065g7 8gb 256ssd 15.6"" Fullhd Freedos Taşınabilir Bilgisayar T15336 ",1920 x 1080,Full HD (FHD),,1065G7,10. Nesil,Intel Core i7,4,Free Dos,
1051,,HDMI,"LENOVO Ideapad 3 15.6""/i5-10210u 1.6/8gb Ram/256gb/mx130 2gb/fhd Win 10 Laptop Gümüş 81wb0061tx 81WB0061TX ",2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce MX130,GDDR5,2 GB,Harici,60 Hz,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Ev - Okul,4.2,,,Yok,TN,12.969,8 GB,DDR4,Gri,256 GB,,4.6,1.6," Ideapad 3 15.6""/i5-10210u 1.6/8gb Ram/256gb/mx130 2gb/fhd Win 10 Laptop Gümüş 81wb0061tx 81WB0061TX ",1920 x 1080,Full HD (FHD),,10210U,10. Nesil,Intel Core i5,4,Windows,
1052,,,"LENOVO V15 G2 Itl Intel Core I5-1135g7 8 Gb 256 Gb Ssd Windows 11 Home 15.6"" Fhd 82kb00hutx031 82KB00HUTX031 ",2 kg ve Altı,Yok,"15,6 inç",Paylaşımlı,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,,Resmi Distribütör Garantili,,,Yok,Yok,Q Türkçe,Ofis - İş,4.2,,,Yok,,12.999,8 GB,DDR4,Siyah,256 GB,,4.64,2.4," V15 G2 Itl Intel Core I5-1135g7 8 Gb 256 Gb Ssd Windows 11 Home 15.6"" Fhd 82kb00hutx031 82KB00HUTX031 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows 11,3 Saat ve Altı
1053,,,"Dell Vostro 3400 Intel Core I5 1135g7 8gb 256gb M.2 Ssd Mx330 Ubuntu 14"" Fhd Bilgisayar Fb1135f82n FB1135F82N ",2 kg ve Altı,Yok,14 inç,Nvidia GeForce MX330,GDDR5,2 GB,Harici,90 Hz,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Oyun,4.2,,,Yok,,"13.317,48",8 GB,DDR4,Siyah,256 GB,,4.5,1.4," Vostro 3400 Intel Core I5 1135g7 8gb 256gb M.2 Ssd Mx330 Ubuntu 14"" Fhd Bilgisayar Fb1135f82n FB1135F82N ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Ubuntu,
1054,8 GB,HDMI,ASUS X409fa-bv653 I7-8565u 8gb 512gb Ssd 14 Hd Freedos X409FA-BV653 ,2 kg ve Altı,Yok,14 inç,Dahili Ekran Kartı,DDR5,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,Yok,Yok,Q Türkçe,Ofis - İş,4.6,,,Yok,TN,13.499,8 GB,DDR4,Siyah,512 GB,,4.63,1.8, X409fa-bv653 I7-8565u 8gb 512gb Ssd 14 Hd Freedos X409FA-BV653 ,1366 x 768,HD Ready (HD),,8565U,8. Nesil,Intel Core i7,4,Free Dos,
1055,,Bluetooth,Dell Inspiron 3511 Intel Core I5 1135g7 16gb 256gb Ssd Windows 10 Home 15.6 F35obf821na24 F35OBF821NA24 ,2 kg ve Altı,Yok,"15,6 inç",Paylaşımlı,SD,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Ofis - İş,4.2,,,Yok,IPS,"12.600,75",16 GB,DDR4,Siyah,256 GB,,5.0,2.4, Inspiron 3511 Intel Core I5 1135g7 16gb 256gb Ssd Windows 10 Home 15.6 F35obf821na24 F35OBF821NA24 ,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,
1056,,,"ASUS ExpertBook P2451FA-EB3317A6 i5-10210U 16GB 512SSD 14"" FullHD FreeDOS Taşınabilir Bilgisayar T13345F ",2 kg ve Altı,Yok,14 inç,Intel UHD Graphics,SD,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,12.079,16 GB,DDR4,Siyah,512 GB,,3.97,," ExpertBook P2451FA-EB3317A6 i5-10210U 16GB 512SSD 14"" FullHD FreeDOS Taşınabilir Bilgisayar T13345F ",1920 x 1080,Full HD (FHD),,10210U,10. Nesil,Intel Core i5,4,Free Dos,
1057,,,"HP 255 G8 5.nesil Ryzen 5 5500u 8gb 512gb Ssd W10h 15.6"" W 10 196337167605 ",2 - 4 kg,Yok,"10,5 inç",AMD R7 250,DDR2 + DDR3,6 GB,Dahili,90 Hz,,2 Yıl,İthalatçı Garantili,,,500 GB,,F Klavye,Oyun,,,,Blu-Ray Okuyucu,,12.500,128 GB,DDR5,Siyah,240 GB,,0.0,," 255 G8 5.nesil Ryzen 5 5500u 8gb 512gb Ssd W10h 15.6"" W 10 196337167605 ",1280 x 800,Ultra HD 4K (UHD),,8265U,2. Nesil,Intel Core i5,12,Free Dos,
1058,64 GB,USB,"ASUS 15.6"" P1512cea-bq0033 Core I5 1135-8gb Ram-512gb Ssd-fdos Kurumsal Notebook TYC00510266133 ",Belirtilmemiş,Yok,"15,6 inç",Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,Ofis - İş,,,,Yok,,12.555,8 GB,Belirtilmemiş,Gri,512 GB,,5.0,Belirtilmemiş," 15.6"" P1512cea-bq0033 Core I5 1135-8gb Ram-512gb Ssd-fdos Kurumsal Notebook TYC00510266133 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,Belirtilmemiş,Free Dos,
1059,,,"HP 15S-FQ5012NT 6G0C1EA Intel Core i5-1235U 8GB 256GB SSD 15.6"" FHD Freedos Dizüstü Bilgisayar ",2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,256 GB,Q Türkçe,Ofis - İş,4.4,,,Yok,IPS,12.169,8 GB,DDR4,Siyah,256 GB,,4.67,," 15S-FQ5012NT 6G0C1EA Intel Core i5-1235U 8GB 256GB SSD 15.6"" FHD Freedos Dizüstü Bilgisayar ",1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,
1060,,,"Dell Vostro 3510 N8803vn3510u I5-1135g7 8gb 256gb Ssd 15.6"" Full Hd Ubuntu Notebook UNUN0DLL0128 ",2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q İngilizce,Ofis - İş,,,,Yok,,"11.399,99",8 GB,Belirtilmemiş,Çok Renkli,256 GB,,0.0,," Vostro 3510 N8803vn3510u I5-1135g7 8gb 256gb Ssd 15.6"" Full Hd Ubuntu Notebook UNUN0DLL0128 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Ubuntu,
1061,,,"HP 14s-dq4005nt I5-1155g7 8gb 512gb Ssd 14"" Fhd 68n17ea 68N17EA ",2 - 4 kg,Yok,14 inç,Intel Iris Graphics,DDR5,Paylaşımlı,Dahili,90 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,11.763,8 GB,DDR4,Siyah,512 GB,,2.33,," 14s-dq4005nt I5-1155g7 8gb 512gb Ssd 14"" Fhd 68n17ea 68N17EA ",1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Free Dos,
1062,,,"LENOVO Lenovo Ideapad 3 Amd Ryzen 7 5700u 12gb 512gb Ssd Freedos 15.6"" 82ku00vntxa6 82KU00VNTXA6 ",2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,512 GB,Q Türkçe,Ofis - İş,,,,Yok,,"12.009,52",12 GB,DDR4,Gri,512 GB,,5.0,1.8," Lenovo Ideapad 3 Amd Ryzen 7 5700u 12gb 512gb Ssd Freedos 15.6"" 82ku00vntxa6 82KU00VNTXA6 ",1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,
1063,,,"LENOVO Thinkbook 15 G3 Ryzen 5 - 5500u 8gb Ram 512g Ssd 15.6"" Fhd Freedos 21a4009utx 21A4009UTX ",2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,Ofis - İş,4.0,,,Yok,IPS,11.999,8 GB,DDR4,Gri,512 GB,,5.0,2.1," Thinkbook 15 G3 Ryzen 5 - 5500u 8gb Ram 512g Ssd 15.6"" Fhd Freedos 21a4009utx 21A4009UTX ",1920 x 1080,Full HD (FHD),,5500U,Ryzen,AMD Ryzen 5,4,Free Dos,6 Saat ve Üstü
1064,,,"HP 15s-fq2028ntı Intel Core I5 1135g7 8gb 512gb Ssd 15.6"" Fhd Taşınabilir Bilgisayar 2n2m9ea P150S6118 ",2 - 4 kg,Yok,"15,6 inç",Intel Iris Graphics,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,,Resmi Distribütör Garantili,,,Yok,Yok,Q Türkçe,Ev - Okul,,,,Yok,,"11.999,99",8 GB,DDR4,Sarı,512 GB,,4.53,1.0," 15s-fq2028ntı Intel Core I5 1135g7 8gb 512gb Ssd 15.6"" Fhd Taşınabilir Bilgisayar 2n2m9ea P150S6118 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,
1065,64 GB,USB,LENOVO Ideapad L3 I5 1021ou ideapad l3 ,2 - 4 kg,Yok,"15,6 inç",Belirtilmemiş,DDR4,2 GB,Dahili,360 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,250 GB,Q Türkçe,Oyun,3.5,Üniversite,,Blu-Ray Okuyucu,IPS,11.900,8 GB,LPDDR4X,Gri,256 GB,AM5,4.5,3.4, Ideapad L3 I5 1021ou ideapad l3 ,4480 x 2520,Ultra HD 4K (UHD),,10210U,10. Nesil,Intel Core i5,6,Windows,4-6 Saat
1066,,HDMI,"LENOVO Ideapad 3 Amd Ryzen 7 3700u 12gb 512gb Ssd Win10 Home 15.6"" Fhd T.bilgisayar 81w1005rtx1 81W1005RTX1 ",2 kg ve Altı,Yok,"15,6 inç",Paylaşımlı,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Ofis - İş,4.0,,,Yok,TN,11.899,12 GB,DDR4,Gümüş,512 GB,,5.0,2.3," Ideapad 3 Amd Ryzen 7 3700u 12gb 512gb Ssd Win10 Home 15.6"" Fhd T.bilgisayar 81w1005rtx1 81W1005RTX1 ",1920 x 1080,Full HD (FHD),,3700U,Ryzen,AMD Ryzen 7,2,Windows,6 Saat ve Üstü
1067,,,"Everest Evoo Evc156-1bk Intel Core I7 6. Nesil 8 Gb Ram 256 Gb Ssd 15.6"" Fhd Ekran Windows 10 FLTHBM-ST01039 ",2 - 4 kg,Yok,"15,6 inç",Intel Iris Graphics,DDR,4 GB ve altı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,250 GB,8 GB,Q Türkçe,Ev - Okul,,,,Yok,,11.890,8 GB,DDR4,Siyah,256 GB,,0.0,2.4," Evoo Evc156-1bk Intel Core I7 6. Nesil 8 Gb Ram 256 Gb Ssd 15.6"" Fhd Ekran Windows 10 FLTHBM-ST01039 ",1920 x 1080,Full HD (FHD),,300U,6. Nesil,Intel Core i7,Belirtilmemiş,Windows,
1068,,,"Dell Vostro 3515 AMD Ryzen 7 3700U 8GB 512GB SSD Ubuntu 15.6"" FHD Taşınabilir Bilgisayar N6270VN3515_UBU ",2 kg ve Altı,Yok,"15,6 inç",Paylaşımlı,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Ofis - İş,,,,Yok,,11.850,8 GB,DDR4,Siyah,512 GB,,5.0,2.3," Vostro 3515 AMD Ryzen 7 3700U 8GB 512GB SSD Ubuntu 15.6"" FHD Taşınabilir Bilgisayar N6270VN3515_UBU ",1920 x 1080,Full HD (FHD),,3700U,Ryzen,AMD Ryzen 7,4,Ubuntu,
1069,,Bluetooth,"ASUS Amd Ryzen 3 3250u 12gb 256gb Ssd Freedos 15.6"" Taşınabilir Bilgisayar D515da-br114203 D515DA-BR114203 ",2 - 4 kg,Yok,"15,6 inç",Paylaşımlı,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Ev - Okul,3.5,,,Yok,,9.199,12 GB,DDR4,Gri,256 GB,,4.49,2.6," Amd Ryzen 3 3250u 12gb 256gb Ssd Freedos 15.6"" Taşınabilir Bilgisayar D515da-br114203 D515DA-BR114203 ",1366 x 768,HD Ready (HD),,3250U,Ryzen,AMD Ryzen 3,2,Free Dos,
1070,32 GB,HDMI,HP 1q3a9es 250 G7 I5-1035g1/4g/1tb/2e/15.6/dos 1Q3A9ES ,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce MX110,DDR5,2 GB,Harici,,Full HD,,Resmi Distribütör Garantili,HD Ready,Var,1 TB,2 TB,Q Türkçe,Ev - Okul,,,DVD Yazıcı,Yok,TN,11.619,8 GB,,Siyah,Yok,,5.0,2 - 3, 1q3a9es 250 G7 I5-1035g1/4g/1tb/2e/15.6/dos 1Q3A9ES ,1920 x 1080,Full HD (FHD),3.00 GHz üstü,1035G1,10. Nesil,Intel Core i5,8,Free Dos,4-6 Saat
1071,16 GB,HDMI,HP 255 G8 4p3m3es Ryzen 7 5700u 8gb 256gb Ssd 15.6 Fhd Windows 10 4P3M3ES ,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR5,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,Yok,Yok,Q Türkçe,Ev - Okul,4.3,,,Yok,TN,"11.680,01",8 GB,DDR4,Siyah,256 GB,,4.5,1.8, 255 G8 4p3m3es Ryzen 7 5700u 8gb 256gb Ssd 15.6 Fhd Windows 10 4P3M3ES ,1920 x 1080,Full HD (FHD),,5700U,Yok,AMD Ryzen 7,4,Windows,
1072,,,LENOVO Ideapad 3 82h802rltx I5 1135g7 8gb 256gb Ssd 15.6 Windows 11 Home Taşınabilir Bilgisayar 82H802RLTX ,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,DDR4,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ev - Okul,,,,Yok,,12.000,8 GB,DDR4,Siyah,256 GB,,4.62,, Ideapad 3 82h802rltx I5 1135g7 8gb 256gb Ssd 15.6 Windows 11 Home Taşınabilir Bilgisayar 82H802RLTX ,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,2,Windows,
1073,,HDMI,"ASUS X515jf-ej346 Intel Core I5-1035g1 4gb 256gb Ssd 2gb Mx130 15.6"" Freedos Notebook X515JF-EJ346 ",2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce MX130,DDR5,2 GB,Harici,60 Hz,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,Tasarım,,,,Yok,,11.499,4 GB,DDR4,Gümüş,256 GB,,0.0,1.1," X515jf-ej346 Intel Core I5-1035g1 4gb 256gb Ssd 2gb Mx130 15.6"" Freedos Notebook X515JF-EJ346 ",1920 x 1080,Full HD (FHD),,1035G1,10. Nesil,Intel Core i5,4,Free Dos,
1074,,,ASUS Vivobook 15 M1502-ozt12 4.Nesil Ryzen 5 4600h-12 Gb 256gb Ssd 15.6inc Windows 11 M1502IA-OZT ,2 kg ve Altı,Yok,"15,6 inç",AMD,Belirtilmemiş,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,12.999,12 GB,DDR4,Gümüş,256 GB,,4.53,, Vivobook 15 M1502-ozt12 4.Nesil Ryzen 5 4600h-12 Gb 256gb Ssd 15.6inc Windows 11 M1502IA-OZT ,1920 x 1080,Full HD (FHD),,4600H,4. Nesil,AMD,6,Windows,
1075,,,ASUS X415EA-EK995 I5-1135G7 8GB 256GB 14 FHD FREEDOS UN110ASU0416 ,2 - 4 kg,Yok,"10,1 inç",AMD,Belirtilmemiş,Paylaşımlı,Dahili,120 Hz,,2 Yıl,İthalatçı Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,DVD Okuyucu,,"9.929,99",8 GB,Belirtilmemiş,Gri,SSD Yok,,4.7,, X415EA-EK995 I5-1135G7 8GB 256GB 14 FHD FREEDOS UN110ASU0416 ,1280 x 800,Full HD (FHD),,1000M,11. Nesil,AMD,4,Windows,
1076,16 GB,Bluetooth,ACER Aspire 5 A514-54 ,2 kg ve Altı,Yok,14 inç,Intel Iris Graphics,DDR4,4 GB,Dahili,60 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,256 GB,Q Türkçe,Ofis - İş,4.2,Üniversite,,Yok,IPS,11.000,8 GB,DDR4,Siyah,256 GB,,4.56,3.1, Aspire 5 A514-54 ,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,4-6 Saat
1077,,,HP Probook 430 G8 I5-1135g7 4gb Ram 128 Gb M.2 Ssd 13.3 Full Hd Ekran W10h 34p37es 34P37ES ,2 kg ve Altı,Yok,"13,3 inç",Intel HD Graphics,DDR3,Paylaşımlı,Dahili,60 Hz,,,Resmi Distribütör Garantili,,,Yok,250 GB altı,Q Türkçe,Ev - Okul,,,,Yok,,11.999,4 GB,DDR4,Gümüş,128 GB,,5.0,2.4, Probook 430 G8 I5-1135g7 4gb Ram 128 Gb M.2 Ssd 13.3 Full Hd Ekran W10h 34p37es 34P37ES ,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,Belirtilmemiş,Windows,
1078,8 GB,HDMI,ASUS X515ea-bq1316 I5-1135g7 4gb 256gb Ssd 15.6 Fhd Freedos X515EA-BQ1316 ,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR5,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,Ev - Okul,4.2,,,Yok,TN,10.629,4 GB,DDR4,Siyah,256 GB,,0.0,2.4, X515ea-bq1316 I5-1135g7 4gb 256gb Ssd 15.6 Fhd Freedos X515EA-BQ1316 ,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,
1079,64 GB,USB,LENOVO Ip5-14ıtl I3 4gb 256gb 82fe00lctx Bilgisayar LENOVO I3 4GB 256GB  Bilgisayar ,2 - 4 kg,Yok,14 inç,Nvidia Quadro P500,DDR,4 GB,Dahili,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,256 GB,Q Türkçe,Oyun,4.3,Üniversite,,Yok,IPS,9.999,4 GB,DDR4,Gri,256 GB,AM5,4.58,4.1, Ip5-14ıtl I3 4gb 256gb 82fe00lctx Bilgisayar LENOVO I3 4GB 256GB  Bilgisayar ,1920 x 1080,Ultra HD 4K (UHD),,3600,3. Nesil,Intel Core i3,4,Windows,6 Saat ve Üstü
1080,,,"LENOVO V14 G2 Itl I5 1135g7 12gb 256gb Ssd Freedos 14"" Fhd 82ka0026txs2 82KA0026TXS2 ",2 kg ve Altı,Yok,14 inç,Paylaşımlı,DDR,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,Yok,,Q Türkçe,Ev - Okul,4.2,,,Yok,TN,10.599,12 GB,DDR4,Siyah,256 GB,,5.0,2.4," V14 G2 Itl I5 1135g7 12gb 256gb Ssd Freedos 14"" Fhd 82ka0026txs2 82KA0026TXS2 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,
1081,,,Casper Nirvana 11.nesil Core I3 1115g4-8gb-240gb Ssd-15.6inc-w11 F500.1115-8D00T-G-F ,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,250 GB,,Q Türkçe,Ev - Okul,,,,Yok,,10.499,8 GB,DDR4,Gümüş,SSD Yok,,5.0,, Nirvana 11.nesil Core I3 1115g4-8gb-240gb Ssd-15.6inc-w11 F500.1115-8D00T-G-F ,1920 x 1080,Full HD Ultra Wide,,1115G4,11. Nesil,Intel Core i3,2,Windows,
1082,,,"HP Envy 13-ba1002nt 4h0t9ea I5-1135g7 8gb 512ssd 13.3"" Fullhd W11h Taşınabilir Bilgisayar T15389 ",2 kg ve Altı,Yok,"13,3 inç",Intel Iris Graphics,SD,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,14.999,8 GB,DDR4,Gri,512 GB,,4.6,Belirtilmemiş," Envy 13-ba1002nt 4h0t9ea I5-1135g7 8gb 512ssd 13.3"" Fullhd W11h Taşınabilir Bilgisayar T15389 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Windows,
1083,,,"LENOVO V14 G2 Itl I5 1135g7 8gb 256gb Ssd Freedos 14"" Fhd 82ka0026txs1 82KA0026TXS1 ",2 kg ve Altı,Yok,14 inç,Paylaşımlı,DDR,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,Yok,,Q Türkçe,Ev - Okul,4.2,,,Yok,TN,10.399,8 GB,DDR4,Siyah,256 GB,,5.0,2.4," V14 G2 Itl I5 1135g7 8gb 256gb Ssd Freedos 14"" Fhd 82ka0026txs1 82KA0026TXS1 ",1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,
1084,,,"ASUS Expertbook L1 Ba1500cda-bq0870a1 Ryzen7 3700u 8gb 1tbssd 15.6"" Fullhd Freedos Taşınabilir Bilgi T17310A ",2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,SD,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,,12.679,8 GB,DDR4,Mavi,1 TB,,4.75,," Expertbook L1 Ba1500cda-bq0870a1 Ryzen7 3700u 8gb 1tbssd 15.6"" Fullhd Freedos Taşınabilir Bilgi T17310A ",1920 x 1080,Full HD (FHD),,3700U,3. Nesil,AMD Ryzen 7,4,Free Dos,
1085,,,HP 245 G9 6q8m3es-16 Ryzen 5 5625u 16gb 512gb 14'' Freedos Fhd 6Q8M3ES16 ,2 - 4 kg,Yok,14 inç,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ofis - İş,,,,Yok,IPS,9.999,64 GB,DDR4,Gri,2 TB,,4.78,, 245 G9 6q8m3es-16 Ryzen 5 5625u 16gb 512gb 14'' Freedos Fhd 6Q8M3ES16 ,1920 x 1080,Full HD (FHD),,5625U,5. Nesil,AMD Ryzen 5,6,Free Dos,
